set_used,num_images,model,optimizer,loss_func,learning_rate,train_ratio,num_outputs,best_f1_epoch,val_loss,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1
sample,5606,MobileNetV2,Adam,BCELoss,0,0005,0.8,14,14,0.2767,0.9383,0.2146,0.9756,0.3113,0.2540
set3,10000,MobileNetV2,Adam,BCELoss,0,0001,0.8,14,19,0.2399,0.9454,0.2602,0.9768,0.3394,0.2946
set3,10000,MobileNetV2,Adam,BCELoss,0,0002,0.8,14,24,0.2920,0.9441,0.2537,0.9758,0.3240,0.2845
set3,10000,MobileNetV2,Adam,BCELoss,0,0003,0.8,14,36,0.3414,0.9482,0.2455,0.9804,0.3640,0.2932
set3,10000,MobileNetV2,Adam,BCELoss,0,0004,0.8,14,16,0.2579,0.9379,0.2724,0.9683,0.2826,0.2774
set3,10000,MobileNetV2,Adam,BCELoss,0,0005,0.8,14,13,0.2265,0.9356,0.3002,0.9647,0.2801,0.2898
set3,10000,MobileNetV2,Adam,BCELoss,0,001,0.8,14,12,0.1880,0.9411,0.2757,0.9716,0.3078,0.2909
set3,10000,MobileNetV2,Adam,BCELoss,0,0001,0.7,14,42,0.3150,0.9441,0.2488,0.9761,0.3235,0.2812
set3,10000,MobileNetV2,Adam,BCELoss,0,0002,0.7,14,39,0.3530,0.9361,0.2938,0.9656,0.2820,0.2878
set3,10000,MobileNetV2,Adam,BCELoss,0,0003,0.7,14,16,0.2746,0.9451,0.2412,0.9774,0.3294,0.2785
set3,10000,MobileNetV2,Adam,BCELoss,0,0004,0.7,14,11,0.2314,0.9430,0.2672,0.9741,0.3212,0.2917
set3,10000,MobileNetV2,Adam,BCELoss,0,0005,0.7,14,29,0.3530,0.9473,0.1902,0.9821,0.3283,0.2409
set3,10000,MobileNetV2,Adam,BCELoss,0,001,0.7,14,16,0.2277,0.9408,0.2504,0.9725,0.2950,0.2709
set123,24999,MobileNetV2,Adam,BCELoss,0,0001,0.8,14,49,0.3551,0.9450,0.2370,0.9773,0.3231,0.2734
set123,24999,MobileNetV2,Adam,BCELoss,0,0002,0.8,14,25,0.3074,0.9467,0.2540,0.9784,0.3494,0.2942
set123,24999,MobileNetV2,Adam,BCELoss,0,0003,0.8,14,31,0.3055,0.9445,0.2543,0.9760,0.3265,0.2859
set123,24999,MobileNetV2,Adam,BCELoss,0,0004,0.8,14,23,0.2810,0.9429,0.2668,0.9738,0.3173,0.2898
set123,24999,MobileNetV2,Adam,BCELoss,0,0005,0.8,14,13,0.1969,0.9480,0.2298,0.9808,0.3534,0.2785
set123,24999,MobileNetV2,Adam,BCELoss,0,001,0.8,14,20,0.1849,0.9484,0.2203,0.9817,0.3544,0.2717
set123,24999,MobileNetV2,Adam,BCELoss,0,0001,0.7,14,11,0.1784,0.9491,0.2187,0.9830,0.3740,0.2760
set123,24999,MobileNetV2,Adam,BCELoss,0,0002,0.7,14,38,0.3428,0.9440,0.2525,0.9760,0.3281,0.2854
set123,24999,MobileNetV2,Adam,BCELoss,0,0003,0.7,14,23,0.2986,0.9433,0.2531,0.9753,0.3221,0.2835
set123,24999,MobileNetV2,Adam,BCELoss,0,0004,0.7,14,12,0.2031,0.9434,0.2546,0.9754,0.3242,0.2852
set123,24999,MobileNetV2,Adam,BCELoss,0,0005,0.7,14,25,0.2885,0.9436,0.2346,0.9765,0.3168,0.2696
set123,24999,MobileNetV2,Adam,BCELoss,0,001,0.7,14,21,0.1999,0.9482,0.2131,0.9823,0.3577,0.2671
